nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2cc(Cl)ccc2oc1=O,P00915,Kd,7.639785386704648,CHEMBL3805906,CHEMBL261
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2ccccc2oc1=O,P00915,Kd,6.831281910912447,CHEMBL3805222,CHEMBL261
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1sc2nc3ccccc3n2c1C,P00915,Kd,6.064190546190067,CHEMBL4750565,CHEMBL261
CC(=NNc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(C(=O)O)cc2)c1C,P00915,Kd,6.259006068415114,CHEMBL4797489,CHEMBL261
CC(=NNc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,P00915,Kd,6.598599459218455,CHEMBL4780406,CHEMBL261
CC(=NO)c1ccc(-c2ccc(O)c(F)c2)c(Cl)c1O,P00915,Kd,5.120904120499928,CHEMBL479836,CHEMBL261
CC(=NO)c1ccc(-c2ccc(O)cc2)c(Cl)c1O,P00915,Kd,5.161150909262744,CHEMBL479638,CHEMBL261
CC(=NO)c1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,P00915,Kd,5.014685819254897,CHEMBL5199772,CHEMBL261
CC(=O)C(=Cc1ccc(Cl)cc1)C(=O)Nc1ccc(S(N)(=O)=O)cc1,P00915,Kd,7.386158178123931,CHEMBL4458973,CHEMBL261
CC(=O)C(=Cc1ccc(F)cc1Cl)C(=O)Nc1ccc(S(N)(=O)=O)cc1,P00915,Kd,7.278189384787454,CHEMBL4451455,CHEMBL261
CC(=O)C(=Cc1cccc([N+](=O)[O-])c1)C(=O)Nc1ccc(S(N)(=O)=O)cc1,P00915,Kd,7.122053048370812,CHEMBL4557855,CHEMBL261
CC(=O)C(=Cc1ccccc1)C(=O)Nc1ccc(S(N)(=O)=O)cc1,P00915,Kd,7.16304326294045,CHEMBL4447914,CHEMBL261
CC(=O)C(=Cc1ccccc1Cl)C(=O)Nc1ccc(S(N)(=O)=O)cc1,P00915,Kd,8.136677139879545,CHEMBL4558452,CHEMBL261
CC(=O)C(=Cc1cccs1)C(=O)Nc1ccc(S(N)(=O)=O)cc1,P00915,Kd,7.308918507877031,CHEMBL4455089,CHEMBL261
CC(=O)C1(c2ccccc2)CCN(C(=O)c2ccc(S(N)(=O)=O)cc2)CC1,P00915,Kd,8.113509274827518,CHEMBL4590736,CHEMBL261
CC(=O)C1=C(C)N(CC(C)O)C(=S)NC1c1ccccc1,P00915,Kd,8.366531544420413,CHEMBL5199705,CHEMBL261
CC(=O)C1=C(C)N(CCCCO)C(=S)NC1c1ccccc1,P00915,Kd,8.366531544420413,CHEMBL5187938,CHEMBL261
CC(=O)C1=NN(c2ccc(S(N)(=O)=O)cc2)C(=C(C#N)C#N)S1,P00915,Kd,4.787812395596042,CHEMBL3098135,CHEMBL261
CC(=O)C1=NN(c2ccc(S(N)(=O)=O)cc2)C(=C(C#N)C(=O)Nc2ccc(S(N)(=O)=O)cc2)S1,P00915,Kd,5.184422251675732,CHEMBL3098533,CHEMBL261
CC(=O)C1=NN(c2ccc(S(N)(=O)=O)cc2)C(=C(C#N)C(=O)c2ccccc2)S1,P00915,Kd,4.484126156288321,CHEMBL3098532,CHEMBL261
CC(=O)C1=NN(c2ccccc2)C(=C(C#N)C(=O)Nc2ccc(S(N)(=O)=O)cc2)S1,P00915,Kd,6.935542010773082,CHEMBL2337539,CHEMBL261
CC(=O)CC(=O)Nc1c(C#N)c(-c2ccc(Br)cc2)cn1-c1ccc(S(N)(=O)=O)cc1,P00915,Kd,6.832682665251824,CHEMBL3342501,CHEMBL261
CC(=O)CC(=O)Nc1ccc(S(N)(=O)=O)cc1,P00915,Kd,7.1598939055432425,CHEMBL4568951,CHEMBL261
CC(=O)CN1C(=O)C=C(C)OS1(=O)=O,P00915,Kd,4.805485658117533,CHEMBL3322440,CHEMBL261
CC(=O)COC1=NS(=O)(=O)OC(C)=C1,P00915,Kd,5.604673606930649,CHEMBL3322441,CHEMBL261
CC(=O)Cc1nc2c3c(-c4ccc(Br)cc4)cn(-c4ccc(S(N)(=O)=O)cc4)c3ncn2n1,P00915,Kd,7.478861916295964,CHEMBL3298349,CHEMBL261
CC(=O)N1CCN(C(=O)c2ccc(S(N)(=O)=O)cc2)C(Cc2ccccc2)C1,P00915,Kd,7.839636136677913,CHEMBL4161747_CHEMBL4169677,CHEMBL261
CC(=O)N1CCN(C(=O)c2ccc(S(N)(=O)=O)cc2)CC1Cc1ccccc1,P00915,Kd,7.655221268133887,CHEMBL4166970_CHEMBL4167883,CHEMBL261
CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,P00915,Kd,6.826813731587726,CHEMBL3601464,CHEMBL261
CC(=O)N1N=C(c2ccc(C)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,P00915,Kd,7.573488738635425,CHEMBL3601460,CHEMBL261
CC(=O)N1N=C(c2ccc(C)cc2)CC1c1ccc(OS(N)(=O)=O)cc1,P00915,Kd,5.631081197650619,CHEMBL4473899,CHEMBL261
CC(=O)N1N=C(c2ccc(C)cc2)CC1c1cccc(OS(N)(=O)=O)c1,P00915,Kd,5.812704945306262,CHEMBL4578546,CHEMBL261
CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(OS(N)(=O)=O)cc1,P00915,Kd,5.537841678973519,CHEMBL4519062,CHEMBL261
CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1cccc(OS(N)(=O)=O)c1,P00915,Kd,5.087560053536276,CHEMBL4452172,CHEMBL261
CC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,P00915,Kd,7.632644078973981,CHEMBL3601463,CHEMBL261
CC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(OS(N)(=O)=O)cc1,P00915,Kd,6.013138729709955,CHEMBL4532533,CHEMBL261
CC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1cccc(OS(N)(=O)=O)c1,P00915,Kd,5.669403617835153,CHEMBL4539997,CHEMBL261
CC(=O)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccc(OS(N)(=O)=O)cc1,P00915,Kd,5.453630101640695,CHEMBL4453349,CHEMBL261
CC(=O)N1N=C(c2ccc(Cl)cc2Cl)CC1c1cccc(OS(N)(=O)=O)c1,P00915,Kd,5.158890915531846,CHEMBL4465172,CHEMBL261
CC(=O)N1N=C(c2ccc(F)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,P00915,Kd,5.955852379121277,CHEMBL3601462,CHEMBL261
CC(=O)N1N=C(c2ccc(F)cc2)CC1c1cccc(OS(N)(=O)=O)c1,P00915,Kd,5.499982647346388,CHEMBL4561870,CHEMBL261
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1c(Cl)cccc1Cl,P00915,Kd,5.389020620077003,CHEMBL4532575,CHEMBL261
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1cc(Cl)ccc1Cl,P00915,Kd,5.513721487232993,CHEMBL4459675,CHEMBL261
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(C(F)(F)F)cc1,P00915,Kd,5.593335853370881,CHEMBL4580659,CHEMBL261
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(C)cc1,P00915,Kd,6.087724789501188,CHEMBL4441496,CHEMBL261
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(Cl)cc1,P00915,Kd,5.94420134046752,CHEMBL4438539,CHEMBL261
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(Cl)cc1Cl,P00915,Kd,5.425679299084692,CHEMBL4567031,CHEMBL261
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(F)cc1,P00915,Kd,6.176199846250122,CHEMBL4454540,CHEMBL261
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc([N+](=O)[O-])cc1,P00915,Kd,5.570585709349186,CHEMBL4590447,CHEMBL261
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1cccc(Cl)c1,P00915,Kd,5.635768042155454,CHEMBL4581991,CHEMBL261
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1cccc2ccccc12,P00915,Kd,5.481683511583528,CHEMBL4465274,CHEMBL261
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccccc1,P00915,Kd,5.700439545407274,CHEMBL4540711,CHEMBL261
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccccc1Cl,P00915,Kd,5.433814021445104,CHEMBL4559197,CHEMBL261
CC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)CC1c1ccc(OS(N)(=O)=O)cc1,P00915,Kd,5.418152701170364,CHEMBL4456443,CHEMBL261
CC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)CC1c1cccc(OS(N)(=O)=O)c1,P00915,Kd,5.594005158808196,CHEMBL4447257,CHEMBL261
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1c(Cl)cccc1Cl,P00915,Kd,5.748970461476096,CHEMBL4451882,CHEMBL261
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1cc(Cl)ccc1Cl,P00915,Kd,5.691286223360996,CHEMBL4446038,CHEMBL261
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccc(C(F)(F)F)cc1,P00915,Kd,6.021454299537261,CHEMBL4464778,CHEMBL261
