nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
CC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,O43570,Kd,8.4089353929735,CHEMBL3601463,CHEMBL3242
CC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(OS(N)(=O)=O)cc1,O43570,Kd,7.530177984021837,CHEMBL4532533,CHEMBL3242
CC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1cccc(OS(N)(=O)=O)c1,O43570,Kd,7.651695136951839,CHEMBL4539997,CHEMBL3242
CC(=O)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccc(OS(N)(=O)=O)cc1,O43570,Kd,7.376750709602099,CHEMBL4453349,CHEMBL3242
CC(=O)N1N=C(c2ccc(Cl)cc2Cl)CC1c1cccc(OS(N)(=O)=O)c1,O43570,Kd,7.511449283499555,CHEMBL4465172,CHEMBL3242
CC(=O)N1N=C(c2ccc(F)cc2)CC1c1c(C)nn(-c2ccc(S(N)(=O)=O)cc2)c1Cl,O43570,Kd,9.244125144327509,CHEMBL3601462,CHEMBL3242
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1c(Cl)cccc1Cl,O43570,Kd,7.359518563029578,CHEMBL4532575,CHEMBL3242
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(C)cc1,O43570,Kd,7.651695136951839,CHEMBL4441496,CHEMBL3242
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(Cl)cc1,O43570,Kd,7.5638373529592435,CHEMBL4438539,CHEMBL3242
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(Cl)cc1Cl,O43570,Kd,7.581698708680254,CHEMBL4567031,CHEMBL3242
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1ccc(F)cc1,O43570,Kd,7.928117992693874,CHEMBL4454540,CHEMBL3242
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1cccc(Cl)c1,O43570,Kd,8.008773924307505,CHEMBL4581991,CHEMBL3242
CC(=O)N1N=C(c2ccc(OS(N)(=O)=O)cc2)CC1c1cccc2ccccc12,O43570,Kd,7.248720896016658,CHEMBL4465274,CHEMBL3242
CC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)CC1c1ccc(OS(N)(=O)=O)cc1,O43570,Kd,9.05551732784983,CHEMBL4456443,CHEMBL3242
CC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)CC1c1cccc(OS(N)(=O)=O)c1,O43570,Kd,7.688246138944246,CHEMBL4447257,CHEMBL3242
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1c(Cl)cccc1Cl,O43570,Kd,7.212539525481585,CHEMBL4451882,CHEMBL3242
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1cc(Cl)ccc1Cl,O43570,Kd,7.465973893943865,CHEMBL4446038,CHEMBL3242
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccc(C(F)(F)F)cc1,O43570,Kd,8.050609993355087,CHEMBL4464778,CHEMBL3242
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccc(C)cc1,O43570,Kd,7.252588192113577,CHEMBL4445724,CHEMBL3242
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccc(Cl)cc1,O43570,Kd,8.031517051446064,CHEMBL4470818,CHEMBL3242
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccc(Cl)cc1Cl,O43570,Kd,7.471083299722345,CHEMBL4454405,CHEMBL3242
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccc(F)cc1,O43570,Kd,7.8696662315049934,CHEMBL4472783,CHEMBL3242
CC(=O)N1N=C(c2cccc(OS(N)(=O)=O)c2)CC1c1ccc([N+](=O)[O-])cc1,O43570,Kd,7.681936665037238,CHEMBL4447073,CHEMBL3242
