nonstereo_aromatic_smiles,accession,standard_type,pPot_mean,chembl_cid,chembl_tid
CC(=O)Nc1cc(-c2ccc(NC(=O)Nc3cc(C(C)(C)C)on3)cc2)[nH]n1,P35968,IC50,7.67778070526608,CHEMBL3808619,CHEMBL279
CC(=O)Nc1cc(Nc2nccc(Nc3ccc4[nH]ncc4c3)n2)ccc1C,P35968,IC50,7.2373214362725635,CHEMBL3818768,CHEMBL279
CC(=O)Nc1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ncn1,P35968,IC50,8.886056647693163,CHEMBL4845883,CHEMBL279
CC(=O)Nc1cc(Oc2ccc(Nc3nccc4[nH]cc(-c5ccc(F)cc5)c(=O)c34)cc2F)ccn1,P35968,IC50,7.41907502432438,CHEMBL4459121,CHEMBL279
CC(=O)Nc1ccc(-c2ccc(NC(=O)Nc3cccc(C)c3)cc2)c2c1C(=O)NC2,P35968,IC50,7.1938200260161125,CHEMBL184021,CHEMBL279
CC(=O)Nc1ccc2c(c1)C(=Cc1cc3c([nH]1)CCN(C(=O)N1CCOCC1)C3)C(=O)N2,P35968,IC50,8.154901959985743,CHEMBL2403374,CHEMBL279
CC(=O)Nc1cn2cc(-c3cc(NC(=O)c4cc(C(F)(F)F)ccn4)ccc3C)ccc2n1,P35968,IC50,5.698970004336019,CHEMBL4204192,CHEMBL279
CC(=O)Nc1cn2cc(-c3cc(NC(=O)c4cccc(C(C)(C)C)c4)ccc3C)ccc2n1,P35968,IC50,7.356547323513812,CHEMBL4217462,CHEMBL279
CC(=O)Nc1cn2cc(-c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)ccc2n1,P35968,IC50,6.494850021680094,CHEMBL4216073,CHEMBL279
CC(=O)Nc1cn2cc(-c3cc(NC(=O)c4cccc(Cl)c4)ccc3C)ccc2n1,P35968,IC50,5.568636235841012,CHEMBL4216386,CHEMBL279
CC(=O)Nc1cn2cc(-c3cc(NC(=O)c4ccccc4)ccc3C)ccc2n1,P35968,IC50,4.958607314841775,CHEMBL4211935,CHEMBL279
CC(=O)Nc1cn2nc(Oc3cccc(NC(=O)c4cccc(F)c4)c3)ccc2n1,P35968,IC50,8.958607314841775,CHEMBL2349005,CHEMBL279
CC(=O)Nc1n[nH]c2cc(-c3cnn(CC(=O)Nc4ccc(C)c(C(F)(F)F)c4)c3)ccc12,P35968,IC50,8.795880017344075,CHEMBL4870465,CHEMBL279
CC(=O)Nc1nn(C)c2cccc(-c3ccc(NC(=O)Nc4cccc(C)c4)cc3)c12,P35968,IC50,4.920818753952375,CHEMBL373435,CHEMBL279
CC(=O)Nc1oc(-c2cc3ccccc3cc2O)nc1-c1ccccc1,P35968,IC50,7.795880017344075,CHEMBL101221,CHEMBL279
CC(=O)Nc1oc(-c2cncc(-c3cccc(Cl)c3)c2)nc1-c1ccccc1,P35968,IC50,5.079876673709276,CHEMBL101325,CHEMBL279
CC(=O)Nc1oc(-c2cncc(-c3cccc(F)c3)c2)nc1-c1ccccc1,P35968,IC50,5.2441251443275085,CHEMBL318733,CHEMBL279
CC(=O)Nc1oc(-c2cncc(-c3ccccc3)c2)nc1-c1ccccc1,P35968,IC50,6.2403321553103694,CHEMBL101461,CHEMBL279
CC(=O)Nc1oc(-c2cncc(-c3ccsc3)c2)nc1-c1ccccc1,P35968,IC50,6.730487055782083,CHEMBL432196,CHEMBL279
CC(=O)c1ccc(NC(=O)CSC2=NC(=O)C(C#N)C(c3ccccc3)N2)cc1,P35968,IC50,6.412962882256544,CHEMBL5396774,CHEMBL279
CC(=O)c1ccc(NC(=O)Nc2ccc(N(C)c3ccnc(Nc4cccc(CS(C)(=O)=O)c4)n3)cc2)cc1,P35968,IC50,8.522878745280337,CHEMBL189862,CHEMBL279
CC(=O)c1cccc(Nc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)n2)c1,P35968,IC50,6.742321425130816,CHEMBL3287592,CHEMBL279
CC(=O)c1nn(-c2ccc(C)cc2)cc1C(=O)c1c(C)[nH]c(-c2ccccc2)c1-c1ccccc1,P35968,IC50,5.057000406633959,CHEMBL3740247,CHEMBL279
CC(=O)c1nn(-c2ccc(Cl)cc2)cc1C(=O)c1c(C)[nH]c(-c2ccccc2)c1-c1ccccc1,P35968,IC50,5.362510270487489,CHEMBL3739587,CHEMBL279
CC(=O)c1nn(-c2ccccc2)cc1C(=O)c1c(C)[nH]c(-c2ccccc2)c1-c1ccccc1,P35968,IC50,5.347753658996677,CHEMBL3739750,CHEMBL279
CC(=O)c1sc(NC(=O)CN2CCN(c3nnc(-c4ccccc4)c4ccccc34)CC2)nc1C,P35968,IC50,5.454692883534176,CHEMBL3752391,CHEMBL279
CC(C)(C#N)c1cccc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)sc4c3C#N)c2)c1,P35968,IC50,7.119186407719209,CHEMBL3125891,CHEMBL279
CC(C)(C#N)c1cccc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)sc4c3C(=O)O)c2)c1,P35968,IC50,7.823908740944319,CHEMBL3124950,CHEMBL279
CC(C)(C#N)c1cccc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)sc4c3CO)c2)c1,P35968,IC50,8.130768280269024,CHEMBL3125881,CHEMBL279
CC(C)(C#N)c1cccc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)sc4c3[N+](=O)[O-])c2)c1,P35968,IC50,7.154901959985743,CHEMBL3125892,CHEMBL279
CC(C)(C)C(=O)Nc1cc(-c2ccc(NC(=O)Nc3cc(C(C)(C)C)on3)cc2)[nH]n1,P35968,IC50,6.508638306165727,CHEMBL3809608,CHEMBL279
CC(C)(C)C(=O)Nc1ccc(-c2ccc(NC(=O)Nc3cc(Br)cc(C(F)(F)F)c3)cc2)cn1,P35968,IC50,6.141234286517747,CHEMBL3586058,CHEMBL279
CC(C)(C)C(=O)Nc1ccc(-c2ccc(NC(=O)Nc3ccc(Cl)c(Cl)c3)cc2)cn1,P35968,IC50,7.877456475931245,CHEMBL3586065,CHEMBL279
CC(C)(C)C(=O)Nc1cccc(Oc2ccc3nc(NC(=O)C4CC4)cn3n2)c1,P35968,IC50,6.187086643357144,CHEMBL2349003,CHEMBL279
CC(C)(C)NC(=O)c1ccnc(C#Cc2ccc3c4c(oc3c2)C(C)(C)c2cc(NS(C)(=O)=O)ccc2C4=O)c1,P35968,IC50,6.221848749616356,CHEMBL5172448,CHEMBL279
CC(C)(C)OC(=O)NCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,P35968,IC50,4.728158393463501,CHEMBL4071058,CHEMBL279
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cc(-c4ccc(OCCN5CCOCC5)cc4)[nH]n3)cc2)no1,P35968,IC50,6.480040819247932,CHEMBL5407834,CHEMBL279
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cc(N)n[nH]3)cc2)no1,P35968,IC50,6.214670164989233,CHEMBL3808854,CHEMBL279
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cc(N)on3)cc2)no1,P35968,IC50,5.721246399047171,CHEMBL3809077,CHEMBL279
